"wielkosc","iloczyn_skalarny","mnozenie_macierzy"
53,1.0e-6,3.4e-5
54,7.7e-6,5.0799e-5
54,1.099e-6,3.4601e-5
54,1.101e-6,3.28e-5
54,1.799e-6,3.91e-5
54,4.3e-6,3.46e-5
54,1.001e-6,0.0002898
54,1.0e-6,4.2e-5
54,1.07e-5,3.29e-5
54,1.0e-6,3.43e-5
54,9.0e-7,3.43e-5
55,3.4e-6,5.3601e-5
55,6.5e-6,3.8999e-5
55,1.099e-6,3.41e-5
55,4.3e-6,3.44e-5
55,1.0e-6,3.56e-5
55,2.3e-6,3.4599e-5
55,1.0e-6,0.0003002
55,1.0e-6,3.7999e-5
55,1.9e-6,4.03e-5
55,1.0e-6,3.4099e-5
56,3.199e-6,5.5999e-5
56,1.101e-6,3.78e-5
56,2.11e-5,3.8899e-5
56,1.0e-6,3.5401e-5
56,1.0e-6,3.6699e-5
56,1.001e-6,3.5501e-5
56,1.699e-6,0.0002945
56,1.0e-6,4.6001e-5
56,1.0e-6,3.53e-5
56,1.0e-6,3.83e-5
57,1.0099e-5,5.34e-5
57,5.3e-6,3.77e-5
57,1.0e-6,3.77e-5
57,2.101e-6,4.38e-5
57,1.0e-6,3.79e-5
57,1.099e-6,3.61e-5
57,1.0e-6,0.000293699
57,1.0799e-5,4.7601e-5
57,1.101e-6,3.78e-5
57,1.0e-6,4.1399e-5
58,6.701e-6,6.0099e-5
58,5.8e-6,4.1899e-5
58,1.1e-6,3.8801e-5
58,1.099e-6,3.8999e-5
58,1.101e-6,3.9599e-5
58,3.0e-6,0.000295101
58,1.0e-6,4.69e-5
58,9.99e-7,3.8499e-5
58,3.401e-6,4.4301e-5
58,1.0e-6,3.8801e-5
59,3.3e-6,6.37e-5
59,1.9e-6,4.08e-5
59,2.2e-6,3.8599e-5
59,1.5e-6,3.9599e-5
59,1.699e-6,0.0002939
59,1.401e-6,4.4599e-5
59,1.501e-6,4.21e-5
59,4.699e-6,4.0201e-5
59,1.0e-6,4.01e-5
59,1.1e-6,3.9099e-5
60,3.199e-6,6.1099e-5
60,1.7e-6,4.0899e-5
60,1.101e-6,4.1201e-5
60,1.3e-6,0.0002947
60,2.0e-6,4.74e-5
60,4.099e-6,4.07e-5
60,1.101e-6,4.1301e-5
60,1.1e-6,3.96e-5
60,1.099e-6,4.24e-5
60,1.001e-6,4.42e-5
61,4.0e-6,6.64e-5
61,1.199e-6,4.6999e-5
61,1.101e-6,0.000404001
61,4.8e-6,6.2901e-5
61,1.1e-6,4.45e-5
61,1.9e-6,4.44e-5
61,1.4e-6,4.44e-5
61,1.099e-6,4.91e-5
61,1.101e-6,4.1699e-5
61,1.1e-6,4.31e-5
62,3.5e-6,6.4799e-5
62,1.2e-6,0.0003029
62,4.9e-6,5.3399e-5
62,1.1e-6,4.3e-5
62,1.2e-6,4.44e-5
62,1.1e-6,4.48e-5
62,9.99e-7,4.43e-5
62,1.101e-6,4.31e-5
62,1.6e-6,4.1199e-5
62,1.3e-6,0.0002404
63,7.301e-6,7.1999e-5
63,5.5e-6,4.66e-5
63,1.101e-6,4.77e-5
63,1.2e-6,4.59e-5
63,1.0e-5,4.5e-5
63,1.099e-6,9.39e-5
63,1.1e-6,4.4999e-5
63,3.099e-6,0.0003025
63,2.501e-6,5.4199e-5
63,1.1e-6,4.25e-5
64,3.199e-6,6.4101e-5
64,5.8e-6,4.68e-5
64,1.4e-6,5.2299e-5
64,1.099e-6,5.2801e-5
64,2.001e-6,4.86e-5
64,4.5e-6,0.0003017
64,1.099e-6,5.52e-5
64,1.3101e-5,5.17e-5
64,1.199e-6,5.2501e-5
64,1.201e-6,4.63e-5
65,8.999e-6,5.6301e-5
65,1.4e-6,4.97e-5
65,1.201e-6,5.0499e-5
65,4.099e-6,0.0002466
65,2.199e-6,4.8899e-5
65,1.101e-6,5.0201e-5
65,1.1e-6,5.18e-5
65,2.0e-6,4.73e-5
65,1.1e-6,4.8e-5
65,1.199e-6,4.59e-5
66,1.67e-5,0.0003225
66,5.0e-6,6.63e-5
66,1.2e-6,4.75e-5
66,2.2e-6,5.0499e-5
66,1.099e-6,5.4299e-5
66,1.1e-6,4.89e-5
66,1.099e-6,5.0e-5
66,2.0e-6,0.000257
66,1.199e-6,5.98e-5
