"wielkosc","mnożenie_naiwne","mnożenie_ulepszone","mnożenie_BLAS"
75,0.000408,0.000139,0.000238
75,0.000363,0.000138,0.000237
76,0.000423,0.000159,0.000266
76,0.000392,0.000179,0.000251
76,0.000381,0.000146,0.000277
76,0.000372,0.000142,0.000244
76,0.000382,0.000143,0.000244
76,0.000382,0.000143,0.000263
76,0.000372,0.000168,0.000257
76,0.000391,0.000150,0.000287
76,0.000382,0.000146,0.000263
76,0.000382,0.000146,0.000250
77,0.000410,0.000180,0.000260
77,0.000410,0.000154,0.000261
77,0.000409,0.000154,0.000261
77,0.000403,0.000164,0.000261
77,0.000433,0.000173,0.000285
77,0.000400,0.000153,0.000291
77,0.000400,0.000153,0.000273
77,0.000400,0.000153,0.000260
77,0.000410,0.000154,0.000261
77,0.000429,0.000154,0.000282
78,0.000429,0.000173,0.000288
78,0.000417,0.000155,0.000263
78,0.000407,0.000165,0.000262
78,0.000407,0.000154,0.000283
78,0.000425,0.000155,0.000278
78,0.000423,0.000162,0.000288
78,0.000429,0.000172,0.000269
78,0.000428,0.000173,0.000270
78,0.000435,0.000159,0.000269
78,0.000437,0.000157,0.000269
79,0.000444,0.000178,0.000294
79,0.000432,0.000159,0.000291
79,0.000432,0.000160,0.000284
79,0.000538,0.000160,0.000323
79,0.000456,0.000159,0.000283
79,0.000422,0.000170,0.000332
79,0.000423,0.000171,0.000271
79,0.000455,0.000188,0.000288
79,0.000457,0.000163,0.000301
79,0.000433,0.000163,0.000296
80,0.000451,0.000187,0.000311
80,0.000466,0.000182,0.000311
80,0.000439,0.000166,0.000310
80,0.000439,0.000166,0.000301
80,0.000440,0.000166,0.000296
80,0.000455,0.000166,0.000304
80,0.000444,0.000166,0.000284
80,0.000498,0.000174,0.000298
80,0.000474,0.000170,0.000290
80,0.000461,0.000171,0.000291
81,0.000476,0.000208,0.000342
81,0.000470,0.000181,0.000316
81,0.000470,0.000180,0.000323
81,0.000470,0.000180,0.000331
81,0.000487,0.000181,0.000315
81,0.000470,0.000180,0.000315
81,0.000469,0.000189,0.000317
81,0.000470,0.000180,0.000317
81,0.000490,0.000181,0.000323
81,0.000470,0.000180,0.000318
82,0.000494,0.000211,0.000310
82,0.000476,0.000196,0.000303
82,0.000494,0.000204,0.000315
